key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,Feedback,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,train.ran,torta_sx,torta_dx,difference,probability,age,gender,date,expName,psychopyVersion,OS,frameRate,participant,key_resp.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,test1.thisRepN,test1.thisTrialN,test1.thisN,test1.thisIndex,test1.ran,key_resp_16.keys,key_resp_16.rt,key_resp_7.keys,key_resp_7.rt,test2.thisRepN,test2.thisTrialN,test2.thisN,test2.thisIndex,test2.ran,rating.response,rating.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt
,,,,,,,,,,,,l,Correct!,0,31,31,0,1,t5.png,t1.png,4,9.55E-11,19,woman,2020-11-07_15h10.57.915,torte-q,2020.1.3,Win32,60,13249,0.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,32,32,50,1,t5.png,t1.png,4,9.55E-11,19,woman,2020-11-07_15h10.57.915,torte-q,2020.1.3,Win32,60,13249,1.635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,33,33,47,1,t4.png,t2.png,2,0.059078,19,woman,2020-11-07_15h10.57.915,torte-q,2020.1.3,Win32,60,13249,2.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Too slow :(,0,34,34,58,1,t5.png,t4.png,1,0.90025,19,woman,2020-11-07_15h10.57.915,torte-q,2020.1.3,Win32,60,13249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,35,35,109,1,t5.png,t5.png,0,0.97829,19,woman,2020-11-07_15h10.57.915,torte-q,2020.1.3,Win32,60,13249,1.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,36,36,22,1,t2.png,t3.png,1,0.90855,19,woman,2020-11-07_15h10.57.915,torte-q,2020.1.3,Win32,60,13249,0.206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,37,37,5,1,t2.png,t4.png,2,0.059078,19,woman,2020-11-07_15h10.57.915,torte-q,2020.1.3,Win32,60,13249,0.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,38,38,43,1,t4.png,t2.png,2,0.059078,19,woman,2020-11-07_15h10.57.915,torte-q,2020.1.3,Win32,60,13249,0.634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,39,39,95,1,t1.png,t1.png,0,0.978,19,woman,2020-11-07_15h10.57.915,torte-q,2020.1.3,Win32,60,13249,0.413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,40,40,33,1,t5.png,t1.png,4,9.55E-11,19,woman,2020-11-07_15h10.57.915,torte-q,2020.1.3,Win32,60,13249,0.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,41,41,34,1,t5.png,t4.png,1,0.9,19,woman,2020-11-07_15h10.57.915,torte-q,2020.1.3,Win32,60,13249,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,42,42,90,1,t1.png,t5.png,4,9.55E-11,19,woman,2020-11-07_15h10.57.915,torte-q,2020.1.3,Win32,60,13249,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,43,43,52,1,t2.png,t4.png,2,0.059078,19,woman,2020-11-07_15h10.57.915,torte-q,2020.1.3,Win32,60,13249,0.568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,44,44,119,1,t1.png,t5.png,4,9.55E-11,19,woman,2020-11-07_15h10.57.915,torte-q,2020.1.3,Win32,60,13249,1.287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,45,45,115,1,t2.png,t4.png,2,0.059078,19,woman,2020-11-07_15h10.57.915,torte-q,2020.1.3,Win32,60,13249,1.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,46,46,28,1,t2.png,t3.png,1,0.909,19,woman,2020-11-07_15h10.57.915,torte-q,2020.1.3,Win32,60,13249,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,47,47,71,1,t5.png,t5.png,0,0.97829,19,woman,2020-11-07_15h10.57.915,torte-q,2020.1.3,Win32,60,13249,1.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,48,48,104,1,t2.png,t3.png,1,0.90855,19,woman,2020-11-07_15h10.57.915,torte-q,2020.1.3,Win32,60,13249,1.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,49,49,73,1,t4.png,t2.png,2,0.059078,19,woman,2020-11-07_15h10.57.915,torte-q,2020.1.3,Win32,60,13249,0.801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,50,50,64,1,t1.png,t1.png,0,0.978,19,woman,2020-11-07_15h10.57.915,torte-q,2020.1.3,Win32,60,13249,0.686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,51,51,62,1,t5.png,t5.png,0,0.978,19,woman,2020-11-07_15h10.57.915,torte-q,2020.1.3,Win32,60,13249,0.647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,52,52,44,1,t2.png,t3.png,1,0.909,19,woman,2020-11-07_15h10.57.915,torte-q,2020.1.3,Win32,60,13249,0.423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,53,53,53,1,t3.png,t1.png,2,0.056466,19,woman,2020-11-07_15h10.57.915,torte-q,2020.1.3,Win32,60,13249,0.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,54,54,12,1,t5.png,t1.png,4,9.55E-11,19,woman,2020-11-07_15h10.57.915,torte-q,2020.1.3,Win32,60,13249,0.848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,55,55,48,1,t5.png,t5.png,0,0.97829,19,woman,2020-11-07_15h10.57.915,torte-q,2020.1.3,Win32,60,13249,0.907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,56,56,40,1,t1.png,t5.png,4,9.55E-11,19,woman,2020-11-07_15h10.57.915,torte-q,2020.1.3,Win32,60,13249,1.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,57,57,114,1,t2.png,t3.png,1,0.90855,19,woman,2020-11-07_15h10.57.915,torte-q,2020.1.3,Win32,60,13249,1.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,58,58,108,1,t5.png,t1.png,4,9.55E-11,19,woman,2020-11-07_15h10.57.915,torte-q,2020.1.3,Win32,60,13249,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,59,59,74,1,t5.png,t4.png,1,0.9,19,woman,2020-11-07_15h10.57.915,torte-q,2020.1.3,Win32,60,13249,1.386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,60,60,37,1,t1.png,t4.png,3,0.0000131,19,woman,2020-11-07_15h10.57.915,torte-q,2020.1.3,Win32,60,13249,1.453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,61,61,14,1,t2.png,t4.png,2,0.059078,19,woman,2020-11-07_15h10.57.915,torte-q,2020.1.3,Win32,60,13249,0.906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,62,62,41,1,t3.png,t2.png,1,0.90855,19,woman,2020-11-07_15h10.57.915,torte-q,2020.1.3,Win32,60,13249,0.767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,63,63,112,1,t1.png,t1.png,0,0.97829,19,woman,2020-11-07_15h10.57.915,torte-q,2020.1.3,Win32,60,13249,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
