key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,Feedback,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,train.ran,torta_sx,torta_dx,difference,probability,age,gender,date,expName,psychopyVersion,OS,frameRate,participant,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,test1.thisRepN,test1.thisTrialN,test1.thisN,test1.thisIndex,test1.ran,key_resp_16.keys,key_resp_16.rt,key_resp_7.keys,key_resp_7.rt,test2.thisRepN,test2.thisTrialN,test2.thisN,test2.thisIndex,test2.ran,rating.response,rating.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt
space,0.977275,space,2.154765,space,0.959655,space,2.837335,space,6.884735,space,13.95375,l,1.327215,Correct!,0,0,0,6,1,t1.png,t4.png,3,0.0000131,18,Female,2020-11-07_07h32.41.096,torte-q,2020.1.3,Win32,60,13995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.914345,Correct!,0,1,1,89,1,t1.png,t4.png,3,0.0000131,18,Female,2020-11-07_07h32.41.096,torte-q,2020.1.3,Win32,60,13995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.563385,Incorrect,0,2,2,49,1,t4.png,t5.png,1,0.9,18,Female,2020-11-07_07h32.41.096,torte-q,2020.1.3,Win32,60,13995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.993335,Correct!,0,3,3,31,1,t1.png,t5.png,4,9.55E-11,18,Female,2020-11-07_07h32.41.096,torte-q,2020.1.3,Win32,60,13995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.280635,Incorrect,0,4,4,51,1,t3.png,t1.png,2,0.056466,18,Female,2020-11-07_07h32.41.096,torte-q,2020.1.3,Win32,60,13995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.069225,Correct!,0,5,5,80,1,t1.png,t4.png,3,0.0000131,18,Female,2020-11-07_07h32.41.096,torte-q,2020.1.3,Win32,60,13995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.64864,Incorrect,0,6,6,75,1,t1.png,t1.png,0,0.97829,18,Female,2020-11-07_07h32.41.096,torte-q,2020.1.3,Win32,60,13995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.59829,Correct!,0,7,7,79,1,t3.png,t2.png,1,0.909,18,Female,2020-11-07_07h32.41.096,torte-q,2020.1.3,Win32,60,13995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.202105,Correct!,0,8,8,76,1,t3.png,t2.png,1,0.90855,18,Female,2020-11-07_07h32.41.096,torte-q,2020.1.3,Win32,60,13995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.08232,Incorrect,0,9,9,66,1,t4.png,t5.png,1,0.9,18,Female,2020-11-07_07h32.41.096,torte-q,2020.1.3,Win32,60,13995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
