key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,Feedback,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,train.ran,torta_sx,torta_dx,difference,probability,age,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,test1.thisRepN,test1.thisTrialN,test1.thisN,test1.thisIndex,test1.ran,key_resp_16.keys,key_resp_16.rt,key_resp_7.keys,key_resp_7.rt,test2.thisRepN,test2.thisTrialN,test2.thisN,test2.thisIndex,test2.ran,rating.response,rating.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt
,,,,,,,,,,,,a,Incorrect,0,18,18,5,1,t2.png,t4.png,2,0.059078,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,1.98167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,19,19,11,1,t1.png,t4.png,3,0.0000131,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,1.54962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,20,20,114,1,t2.png,t3.png,1,0.90855,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,2.13106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,21,21,41,1,t3.png,t2.png,1,0.90855,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,2.23756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Too slow :(,0,22,22,47,1,t4.png,t2.png,2,0.059078,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,23,23,44,1,t2.png,t3.png,1,0.909,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,0.79069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,24,24,118,1,t5.png,t5.png,0,0.978,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,1.32923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,25,25,15,1,t3.png,t2.png,1,0.90855,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,1.03353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,26,26,107,1,t1.png,t1.png,0,0.978,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,1.22025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,27,27,78,1,t1.png,t1.png,0,0.978,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,0.82106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
