key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,Feedback,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,train.ran,torta_sx,torta_dx,difference,probability,age,gender,date,expName,psychopyVersion,OS,frameRate,participant,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,test1.thisRepN,test1.thisTrialN,test1.thisN,test1.thisIndex,test1.ran,key_resp_16.keys,key_resp_16.rt,key_resp_7.keys,key_resp_7.rt,test2.thisRepN,test2.thisTrialN,test2.thisN,test2.thisIndex,test2.ran,rating.response,rating.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt
space,29.31966,space,5.694075,space,3.930025,space,3.14824,space,21.064625,space,39.89271,a,1.52763,Correct!,0,0,0,58,1,t5.png,t4.png,1,0.90025,61,Male,2020-11-16_16h38.54.805,torte-q,2020.1.3,Win32,60,13311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.78023,Incorrect,0,1,1,33,1,t5.png,t1.png,4,9.55E-11,61,Male,2020-11-16_16h38.54.805,torte-q,2020.1.3,Win32,60,13311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.83509,Incorrect,0,2,2,75,1,t1.png,t1.png,0,0.97829,61,Male,2020-11-16_16h38.54.805,torte-q,2020.1.3,Win32,60,13311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.669715,Correct!,0,3,3,3,1,t1.png,t5.png,4,9.55E-11,61,Male,2020-11-16_16h38.54.805,torte-q,2020.1.3,Win32,60,13311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.468535,Correct!,0,4,4,77,1,t1.png,t1.png,0,0.97829,61,Male,2020-11-16_16h38.54.805,torte-q,2020.1.3,Win32,60,13311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.29905,Incorrect,0,5,5,27,1,t3.png,t1.png,2,0.0565,61,Male,2020-11-16_16h38.54.805,torte-q,2020.1.3,Win32,60,13311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.204255,Correct!,0,6,6,38,1,t3.png,t1.png,2,0.056466,61,Male,2020-11-16_16h38.54.805,torte-q,2020.1.3,Win32,60,13311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.23712,Incorrect,0,7,7,46,1,t4.png,t2.png,2,0.059078,61,Male,2020-11-16_16h38.54.805,torte-q,2020.1.3,Win32,60,13311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.62594,Incorrect,0,8,8,112,1,t1.png,t1.png,0,0.97829,61,Male,2020-11-16_16h38.54.805,torte-q,2020.1.3,Win32,60,13311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.16125,Correct!,0,9,9,31,1,t1.png,t5.png,4,9.55E-11,61,Male,2020-11-16_16h38.54.805,torte-q,2020.1.3,Win32,60,13311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
