key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,Feedback,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,train.ran,torta_sx,torta_dx,difference,probability,age,gender,date,expName,psychopyVersion,OS,frameRate,participant,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,test1.thisRepN,test1.thisTrialN,test1.thisN,test1.thisIndex,test1.ran,key_resp_16.keys,key_resp_16.rt,key_resp_7.keys,key_resp_7.rt,test2.thisRepN,test2.thisTrialN,test2.thisN,test2.thisIndex,test2.ran,rating.response,rating.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt
space,0.75311,space,0.44575,space,0.375485,space,0.27728,space,18.178665,space,95.4416,l,2.25159,Incorrect,0,0,0,63,1,t2.png,t3.png,1,0.909,19,female,2020-11-09_11h49.33.998,torte-q,2020.1.3,Win32,60,13983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Too slow :(,0,1,1,77,1,t1.png,t1.png,0,0.97829,19,female,2020-11-09_11h49.33.998,torte-q,2020.1.3,Win32,60,13983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.90868,Incorrect,0,2,2,65,1,t4.png,t5.png,1,0.90025,19,female,2020-11-09_11h49.33.998,torte-q,2020.1.3,Win32,60,13983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,2.231995,Correct!,0,3,3,44,1,t2.png,t3.png,1,0.909,19,female,2020-11-09_11h49.33.998,torte-q,2020.1.3,Win32,60,13983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.52803,Incorrect,0,4,4,20,1,t2.png,t3.png,1,0.90855,19,female,2020-11-09_11h49.33.998,torte-q,2020.1.3,Win32,60,13983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Too slow :(,0,5,5,85,1,t3.png,t2.png,1,0.90855,19,female,2020-11-09_11h49.33.998,torte-q,2020.1.3,Win32,60,13983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.63981,Incorrect,0,6,6,86,1,t3.png,t1.png,2,0.056466,19,female,2020-11-09_11h49.33.998,torte-q,2020.1.3,Win32,60,13983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.64706,Incorrect,0,7,7,28,1,t2.png,t3.png,1,0.909,19,female,2020-11-09_11h49.33.998,torte-q,2020.1.3,Win32,60,13983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Too slow :(,0,8,8,88,1,t3.png,t1.png,2,0.056466,19,female,2020-11-09_11h49.33.998,torte-q,2020.1.3,Win32,60,13983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.11513,Correct!,0,9,9,103,1,t3.png,t1.png,2,0.056466,19,female,2020-11-09_11h49.33.998,torte-q,2020.1.3,Win32,60,13983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.663625,Incorrect,0,10,10,71,1,t5.png,t5.png,0,0.97829,19,female,2020-11-09_11h49.33.998,torte-q,2020.1.3,Win32,60,13983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.6031,Correct!,0,11,11,49,1,t4.png,t5.png,1,0.9,19,female,2020-11-09_11h49.33.998,torte-q,2020.1.3,Win32,60,13983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.49825,Correct!,0,12,12,37,1,t1.png,t4.png,3,0.0000131,19,female,2020-11-09_11h49.33.998,torte-q,2020.1.3,Win32,60,13983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.501515,Incorrect,0,13,13,55,1,t2.png,t4.png,2,0.059078,19,female,2020-11-09_11h49.33.998,torte-q,2020.1.3,Win32,60,13983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.95599,Incorrect,0,14,14,76,1,t3.png,t2.png,1,0.90855,19,female,2020-11-09_11h49.33.998,torte-q,2020.1.3,Win32,60,13983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,2.27921,Incorrect,0,15,15,113,1,t5.png,t4.png,1,0.9,19,female,2020-11-09_11h49.33.998,torte-q,2020.1.3,Win32,60,13983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.89571,Incorrect,0,16,16,13,1,t5.png,t5.png,0,0.97829,19,female,2020-11-09_11h49.33.998,torte-q,2020.1.3,Win32,60,13983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.56295,Correct!,0,17,17,101,1,t4.png,t5.png,1,0.90025,19,female,2020-11-09_11h49.33.998,torte-q,2020.1.3,Win32,60,13983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.1547,Correct!,0,18,18,45,1,t3.png,t2.png,1,0.90855,19,female,2020-11-09_11h49.33.998,torte-q,2020.1.3,Win32,60,13983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.514255,Correct!,0,19,19,116,1,t5.png,t4.png,1,0.90025,19,female,2020-11-09_11h49.33.998,torte-q,2020.1.3,Win32,60,13983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.271895,Correct!,0,20,20,2,1,t3.png,t2.png,1,0.90855,19,female,2020-11-09_11h49.33.998,torte-q,2020.1.3,Win32,60,13983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.52354,Correct!,0,21,21,16,1,t5.png,t4.png,1,0.9,19,female,2020-11-09_11h49.33.998,torte-q,2020.1.3,Win32,60,13983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.98029,Incorrect,0,22,22,109,1,t5.png,t5.png,0,0.97829,19,female,2020-11-09_11h49.33.998,torte-q,2020.1.3,Win32,60,13983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.306885,Correct!,0,23,23,25,1,t5.png,t5.png,0,0.97829,19,female,2020-11-09_11h49.33.998,torte-q,2020.1.3,Win32,60,13983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.156175,Correct!,0,24,24,84,1,t1.png,t1.png,0,0.97829,19,female,2020-11-09_11h49.33.998,torte-q,2020.1.3,Win32,60,13983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Too slow :(,0,25,25,32,1,t4.png,t5.png,1,0.90025,19,female,2020-11-09_11h49.33.998,torte-q,2020.1.3,Win32,60,13983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Too slow :(,0,26,26,48,1,t5.png,t5.png,0,0.97829,19,female,2020-11-09_11h49.33.998,torte-q,2020.1.3,Win32,60,13983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.22994,Correct!,0,27,27,17,1,t1.png,t4.png,3,0.0000131,19,female,2020-11-09_11h49.33.998,torte-q,2020.1.3,Win32,60,13983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.90402,Correct!,0,28,28,3,1,t1.png,t5.png,4,9.55E-11,19,female,2020-11-09_11h49.33.998,torte-q,2020.1.3,Win32,60,13983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.50302,Correct!,0,29,29,82,1,t5.png,t1.png,4,9.55E-11,19,female,2020-11-09_11h49.33.998,torte-q,2020.1.3,Win32,60,13983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
