key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,Feedback,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,train.ran,torta_sx,torta_dx,difference,probability,age,gender,date,expName,psychopyVersion,OS,frameRate,participant,key_resp.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,test1.thisRepN,test1.thisTrialN,test1.thisN,test1.thisIndex,test1.ran,key_resp_16.keys,key_resp_16.rt,key_resp_7.keys,key_resp_7.rt,test2.thisRepN,test2.thisTrialN,test2.thisN,test2.thisIndex,test2.ran,rating.response,rating.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt
space,37.06728,space,2.86348,space,0.216595,space,1.33062,space,14.750635,space,36.417015,,Too slow :(,0,0,0,9,1,t4.png,t5.png,1,0.9,28,Female,2020-10-21_21h17.55.853,torte-q,2020.1.3,MacIntel,60,14106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,1,1,60,1,t2.png,t4.png,2,0.059078,28,Female,2020-10-21_21h17.55.853,torte-q,2020.1.3,MacIntel,60,14106,1.650885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,2,2,31,1,t1.png,t5.png,4,9.55E-11,28,Female,2020-10-21_21h17.55.853,torte-q,2020.1.3,MacIntel,60,14106,1.4343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,3,3,86,1,t3.png,t1.png,2,0.056466,28,Female,2020-10-21_21h17.55.853,torte-q,2020.1.3,MacIntel,60,14106,0.60063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,4,4,1,1,t2.png,t4.png,2,0.059078,28,Female,2020-10-21_21h17.55.853,torte-q,2020.1.3,MacIntel,60,14106,1.40094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,5,5,6,1,t1.png,t4.png,3,0.0000131,28,Female,2020-10-21_21h17.55.853,torte-q,2020.1.3,MacIntel,60,14106,0.983495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,6,6,101,1,t4.png,t5.png,1,0.90025,28,Female,2020-10-21_21h17.55.853,torte-q,2020.1.3,MacIntel,60,14106,0.9291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,7,7,47,1,t4.png,t2.png,2,0.059078,28,Female,2020-10-21_21h17.55.853,torte-q,2020.1.3,MacIntel,60,14106,0.834405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,8,8,12,1,t5.png,t1.png,4,9.55E-11,28,Female,2020-10-21_21h17.55.853,torte-q,2020.1.3,MacIntel,60,14106,1.195965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,9,9,87,1,t5.png,t1.png,4,9.55E-11,28,Female,2020-10-21_21h17.55.853,torte-q,2020.1.3,MacIntel,60,14106,1.9794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,10,10,39,1,t3.png,t2.png,1,0.90855,28,Female,2020-10-21_21h17.55.853,torte-q,2020.1.3,MacIntel,60,14106,1.68559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,11,11,85,1,t3.png,t2.png,1,0.90855,28,Female,2020-10-21_21h17.55.853,torte-q,2020.1.3,MacIntel,60,14106,1.834115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,12,12,18,1,t4.png,t5.png,1,0.90025,28,Female,2020-10-21_21h17.55.853,torte-q,2020.1.3,MacIntel,60,14106,1.500895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,13,13,59,1,t5.png,t4.png,1,0.9,28,Female,2020-10-21_21h17.55.853,torte-q,2020.1.3,MacIntel,60,14106,1.579285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,14,14,82,1,t5.png,t1.png,4,9.55E-11,28,Female,2020-10-21_21h17.55.853,torte-q,2020.1.3,MacIntel,60,14106,1.08499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,15,15,93,1,t2.png,t4.png,2,0.059078,28,Female,2020-10-21_21h17.55.853,torte-q,2020.1.3,MacIntel,60,14106,1.884295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
