key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,Feedback,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,train.ran,torta_sx,torta_dx,difference,probability,age,gender,date,expName,psychopyVersion,OS,frameRate,participant,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,test1.thisRepN,test1.thisTrialN,test1.thisN,test1.thisIndex,test1.ran,key_resp_16.keys,key_resp_16.rt,key_resp_7.keys,key_resp_7.rt,test2.thisRepN,test2.thisTrialN,test2.thisN,test2.thisIndex,test2.ran,rating.response,rating.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt
space,34.91646,space,30.421295,space,4.76613,space,8.7082,space,38.811315,space,99.36808,l,2.275265,Correct!,0,0,0,99,1,t1.png,t5.png,4,9.55E-11,19,female,2020-11-15_18h40.58.569,torte-q,2020.1.3,MacIntel,60,13252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Too slow :(,0,1,1,71,1,t5.png,t5.png,0,0.97829,19,female,2020-11-15_18h40.58.569,torte-q,2020.1.3,MacIntel,60,13252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.9871,Incorrect,0,2,2,114,1,t2.png,t3.png,1,0.90855,19,female,2020-11-15_18h40.58.569,torte-q,2020.1.3,MacIntel,60,13252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.868155,Incorrect,0,3,3,111,1,t5.png,t1.png,4,9.55E-11,19,female,2020-11-15_18h40.58.569,torte-q,2020.1.3,MacIntel,60,13252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.778195,Correct!,0,4,4,15,1,t3.png,t2.png,1,0.90855,19,female,2020-11-15_18h40.58.569,torte-q,2020.1.3,MacIntel,60,13252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.99786,Correct!,0,5,5,89,1,t1.png,t4.png,3,0.0000131,19,female,2020-11-15_18h40.58.569,torte-q,2020.1.3,MacIntel,60,13252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.266205,Correct!,0,6,6,64,1,t1.png,t1.png,0,0.978,19,female,2020-11-15_18h40.58.569,torte-q,2020.1.3,MacIntel,60,13252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.90333,Correct!,0,7,7,34,1,t5.png,t4.png,1,0.9,19,female,2020-11-15_18h40.58.569,torte-q,2020.1.3,MacIntel,60,13252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.70504,Correct!,0,8,8,90,1,t1.png,t5.png,4,9.55E-11,19,female,2020-11-15_18h40.58.569,torte-q,2020.1.3,MacIntel,60,13252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.56799,Incorrect,0,9,9,0,1,t5.png,t1.png,4,9.55E-11,19,female,2020-11-15_18h40.58.569,torte-q,2020.1.3,MacIntel,60,13252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
