key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,Feedback,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,train.ran,torta_sx,torta_dx,difference,probability,age,gender,date,expName,psychopyVersion,OS,frameRate,participant,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,test1.thisRepN,test1.thisTrialN,test1.thisN,test1.thisIndex,test1.ran,key_resp_16.keys,key_resp_16.rt,key_resp_7.keys,key_resp_7.rt,test2.thisRepN,test2.thisTrialN,test2.thisN,test2.thisIndex,test2.ran,rating.response,rating.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt
space,0.131085,space,0.16884,space,0.163975,space,22.66706,semicolon,15.048625,space,51.514965,a,2.065225,Correct!,0,0,0,64,1,t1.png,t1.png,0,0.978,19,Male,2020-10-19_23h04.04.615,torte-q,2020.1.3,Win32,60,13877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.73064,Correct!,0,1,1,35,1,t1.png,t4.png,3,0.0000131,19,Male,2020-10-19_23h04.04.615,torte-q,2020.1.3,Win32,60,13877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.06354,Correct!,0,2,2,14,1,t2.png,t4.png,2,0.059078,19,Male,2020-10-19_23h04.04.615,torte-q,2020.1.3,Win32,60,13877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.600475,Incorrect,0,3,3,108,1,t5.png,t1.png,4,9.55E-11,19,Male,2020-10-19_23h04.04.615,torte-q,2020.1.3,Win32,60,13877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.513915,Incorrect,0,4,4,0,1,t5.png,t1.png,4,9.55E-11,19,Male,2020-10-19_23h04.04.615,torte-q,2020.1.3,Win32,60,13877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.780985,Incorrect,0,5,5,20,1,t2.png,t3.png,1,0.90855,19,Male,2020-10-19_23h04.04.615,torte-q,2020.1.3,Win32,60,13877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.52207,Correct!,0,6,6,78,1,t1.png,t1.png,0,0.978,19,Male,2020-10-19_23h04.04.615,torte-q,2020.1.3,Win32,60,13877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.41452,Correct!,0,7,7,16,1,t5.png,t4.png,1,0.9,19,Male,2020-10-19_23h04.04.615,torte-q,2020.1.3,Win32,60,13877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.96427,Correct!,0,8,8,41,1,t3.png,t2.png,1,0.90855,19,Male,2020-10-19_23h04.04.615,torte-q,2020.1.3,Win32,60,13877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.43165,Incorrect,0,9,9,51,1,t3.png,t1.png,2,0.056466,19,Male,2020-10-19_23h04.04.615,torte-q,2020.1.3,Win32,60,13877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.002045,Incorrect,0,10,10,29,1,t5.png,t5.png,0,0.97829,19,Male,2020-10-19_23h04.04.615,torte-q,2020.1.3,Win32,60,13877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.98741,Correct!,0,11,11,70,1,t5.png,t5.png,0,0.978,19,Male,2020-10-19_23h04.04.615,torte-q,2020.1.3,Win32,60,13877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.605345,Correct!,0,12,12,99,1,t1.png,t5.png,4,9.55E-11,19,Male,2020-10-19_23h04.04.615,torte-q,2020.1.3,Win32,60,13877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.513915,Incorrect,0,13,13,33,1,t5.png,t1.png,4,9.55E-11,19,Male,2020-10-19_23h04.04.615,torte-q,2020.1.3,Win32,60,13877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.8825,Correct!,0,14,14,40,1,t1.png,t5.png,4,9.55E-11,19,Male,2020-10-19_23h04.04.615,torte-q,2020.1.3,Win32,60,13877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.06399,Incorrect,0,15,15,3,1,t1.png,t5.png,4,9.55E-11,19,Male,2020-10-19_23h04.04.615,torte-q,2020.1.3,Win32,60,13877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.83889,Incorrect,0,16,16,87,1,t5.png,t1.png,4,9.55E-11,19,Male,2020-10-19_23h04.04.615,torte-q,2020.1.3,Win32,60,13877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.465115,Correct!,0,17,17,93,1,t2.png,t4.png,2,0.059078,19,Male,2020-10-19_23h04.04.615,torte-q,2020.1.3,Win32,60,13877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.23991,Incorrect,0,18,18,66,1,t4.png,t5.png,1,0.9,19,Male,2020-10-19_23h04.04.615,torte-q,2020.1.3,Win32,60,13877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.125755,Correct!,0,19,19,13,1,t5.png,t5.png,0,0.97829,19,Male,2020-10-19_23h04.04.615,torte-q,2020.1.3,Win32,60,13877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.43174,Incorrect,0,20,20,22,1,t2.png,t3.png,1,0.90855,19,Male,2020-10-19_23h04.04.615,torte-q,2020.1.3,Win32,60,13877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,2.405045,Incorrect,0,21,21,101,1,t4.png,t5.png,1,0.90025,19,Male,2020-10-19_23h04.04.615,torte-q,2020.1.3,Win32,60,13877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.71495,Correct!,0,22,22,43,1,t4.png,t2.png,2,0.059078,19,Male,2020-10-19_23h04.04.615,torte-q,2020.1.3,Win32,60,13877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.44279,Correct!,0,23,23,73,1,t4.png,t2.png,2,0.059078,19,Male,2020-10-19_23h04.04.615,torte-q,2020.1.3,Win32,60,13877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.31383,Incorrect,0,24,24,34,1,t5.png,t4.png,1,0.9,19,Male,2020-10-19_23h04.04.615,torte-q,2020.1.3,Win32,60,13877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.13229,Correct!,0,25,25,100,1,t4.png,t5.png,1,0.90025,19,Male,2020-10-19_23h04.04.615,torte-q,2020.1.3,Win32,60,13877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.002315,Incorrect,0,26,26,94,1,t5.png,t1.png,4,9.55E-11,19,Male,2020-10-19_23h04.04.615,torte-q,2020.1.3,Win32,60,13877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.097855,Correct!,0,27,27,18,1,t4.png,t5.png,1,0.90025,19,Male,2020-10-19_23h04.04.615,torte-q,2020.1.3,Win32,60,13877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.14877,Correct!,0,28,28,114,1,t2.png,t3.png,1,0.90855,19,Male,2020-10-19_23h04.04.615,torte-q,2020.1.3,Win32,60,13877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.028675,Incorrect,0,29,29,21,1,t5.png,t4.png,1,0.90025,19,Male,2020-10-19_23h04.04.615,torte-q,2020.1.3,Win32,60,13877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.031785,Incorrect,0,30,30,67,1,t1.png,t5.png,4,9.55E-11,19,Male,2020-10-19_23h04.04.615,torte-q,2020.1.3,Win32,60,13877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.09816,Correct!,0,31,31,65,1,t4.png,t5.png,1,0.90025,19,Male,2020-10-19_23h04.04.615,torte-q,2020.1.3,Win32,60,13877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
