key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,Feedback,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,train.ran,torta_sx,torta_dx,difference,probability,age,gender,date,expName,psychopyVersion,OS,frameRate,participant,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,test1.thisRepN,test1.thisTrialN,test1.thisN,test1.thisIndex,test1.ran,key_resp_16.keys,key_resp_16.rt,key_resp_7.keys,key_resp_7.rt,test2.thisRepN,test2.thisTrialN,test2.thisN,test2.thisIndex,test2.ran,rating.response,rating.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt
space,49.59305,space,3.74828,space,0.256645,space,4.479025,space,3.0198,space,88.02104,a,0.92005,Correct!,0,0,0,59,1,t5.png,t4.png,1,0.9,20,Male,2020-10-20_18h11.19.861,torte-q,2020.1.3,Win32,60,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.768245,Incorrect,0,1,1,0,1,t5.png,t1.png,4,9.55E-11,20,Male,2020-10-20_18h11.19.861,torte-q,2020.1.3,Win32,60,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.623855,Correct!,0,2,2,118,1,t5.png,t5.png,0,0.978,20,Male,2020-10-20_18h11.19.861,torte-q,2020.1.3,Win32,60,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.19044,Incorrect,0,3,3,10,1,t2.png,t3.png,1,0.90855,20,Male,2020-10-20_18h11.19.861,torte-q,2020.1.3,Win32,60,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.395405,Correct!,0,4,4,28,1,t2.png,t3.png,1,0.909,20,Male,2020-10-20_18h11.19.861,torte-q,2020.1.3,Win32,60,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.22161,Incorrect,0,5,5,79,1,t3.png,t2.png,1,0.909,20,Male,2020-10-20_18h11.19.861,torte-q,2020.1.3,Win32,60,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.353985,Incorrect,0,6,6,35,1,t1.png,t4.png,3,0.0000131,20,Male,2020-10-20_18h11.19.861,torte-q,2020.1.3,Win32,60,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,2.17203,Incorrect,0,7,7,98,1,t2.png,t4.png,2,0.0591,20,Male,2020-10-20_18h11.19.861,torte-q,2020.1.3,Win32,60,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.830765,Correct!,0,8,8,119,1,t1.png,t5.png,4,9.55E-11,20,Male,2020-10-20_18h11.19.861,torte-q,2020.1.3,Win32,60,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Too slow :(,0,9,9,60,1,t2.png,t4.png,2,0.059078,20,Male,2020-10-20_18h11.19.861,torte-q,2020.1.3,Win32,60,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
