key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,Feedback,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,train.ran,torta_sx,torta_dx,difference,probability,age,gender,date,expName,psychopyVersion,OS,frameRate,participant,key_resp.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,test1.thisRepN,test1.thisTrialN,test1.thisN,test1.thisIndex,test1.ran,key_resp_16.keys,key_resp_16.rt,key_resp_7.keys,key_resp_7.rt,test2.thisRepN,test2.thisTrialN,test2.thisN,test2.thisIndex,test2.ran,rating.response,rating.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt
space,11.73085,space,0.66383,space,0.812305,space,3.00852,space,30.94094,space,50.534075,,Too slow :(,0,0,0,77,1,t1.png,t1.png,0,0.97829,20,male,2020-10-14_14h48.18.989,torte-q,2020.1.3,Win32,60,12840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,1,1,82,1,t5.png,t1.png,4,9.55E-11,20,male,2020-10-14_14h48.18.989,torte-q,2020.1.3,Win32,60,12840,0.885255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,2,2,86,1,t3.png,t1.png,2,0.056466,20,male,2020-10-14_14h48.18.989,torte-q,2020.1.3,Win32,60,12840,1.560465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,3,3,96,1,t1.png,t1.png,0,0.97829,20,male,2020-10-14_14h48.18.989,torte-q,2020.1.3,Win32,60,12840,1.013825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,4,4,19,1,t4.png,t2.png,2,0.059078,20,male,2020-10-14_14h48.18.989,torte-q,2020.1.3,Win32,60,12840,1.60121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,5,5,15,1,t3.png,t2.png,1,0.90855,20,male,2020-10-14_14h48.18.989,torte-q,2020.1.3,Win32,60,12840,1.431255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,6,6,105,1,t3.png,t2.png,1,0.90855,20,male,2020-10-14_14h48.18.989,torte-q,2020.1.3,Win32,60,12840,1.24303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,7,7,25,1,t5.png,t5.png,0,0.97829,20,male,2020-10-14_14h48.18.989,torte-q,2020.1.3,Win32,60,12840,2.368895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,8,8,76,1,t3.png,t2.png,1,0.90855,20,male,2020-10-14_14h48.18.989,torte-q,2020.1.3,Win32,60,12840,1.1867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,9,9,21,1,t5.png,t4.png,1,0.90025,20,male,2020-10-14_14h48.18.989,torte-q,2020.1.3,Win32,60,12840,2.200285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
