key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,Feedback,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,train.ran,torta_sx,torta_dx,difference,probability,age,gender,date,expName,psychopyVersion,OS,frameRate,participant,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,test1.thisRepN,test1.thisTrialN,test1.thisN,test1.thisIndex,test1.ran,key_resp_16.keys,key_resp_16.rt,key_resp_7.keys,key_resp_7.rt,test2.thisRepN,test2.thisTrialN,test2.thisN,test2.thisIndex,test2.ran,rating.response,rating.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt
space,42.203525,space,33.927415,space,2.811195,space,15.445575,space,11.000225,space,27.264785,a,0.955585,Incorrect,0,0,0,36,1,t3.png,t1.png,2,0.0565,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.163475,Correct!,0,1,1,89,1,t1.png,t4.png,3,0.0000131,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.88152,Incorrect,0,2,2,27,1,t3.png,t1.png,2,0.0565,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Too slow :(,0,3,3,97,1,t5.png,t5.png,0,0.97829,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.96775,Incorrect,0,4,4,65,1,t4.png,t5.png,1,0.90025,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.081895,Correct!,0,5,5,8,1,t3.png,t2.png,1,0.90855,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.25689,Correct!,0,6,6,5,1,t2.png,t4.png,2,0.059078,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.63965,Correct!,0,7,7,78,1,t1.png,t1.png,0,0.978,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.889245,Incorrect,0,8,8,82,1,t5.png,t1.png,4,9.55E-11,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.39317,Incorrect,0,9,9,10,1,t2.png,t3.png,1,0.90855,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.717335,Correct!,0,10,10,99,1,t1.png,t5.png,4,9.55E-11,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.72383,Incorrect,0,11,11,83,1,t3.png,t1.png,2,0.056466,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Too slow :(,0,12,12,28,1,t2.png,t3.png,1,0.909,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.71679,Incorrect,0,13,13,45,1,t3.png,t2.png,1,0.90855,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.102215,Incorrect,0,14,14,81,1,t1.png,t1.png,0,0.97829,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.826025,Correct!,0,15,15,90,1,t1.png,t5.png,4,9.55E-11,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.06699,Correct!,0,16,16,118,1,t5.png,t5.png,0,0.978,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.23416,Incorrect,0,17,17,56,1,t5.png,t1.png,4,9.55E-11,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.20044,Incorrect,0,18,18,111,1,t5.png,t1.png,4,9.55E-11,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.698435,Correct!,0,19,19,48,1,t5.png,t5.png,0,0.97829,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.20641,Incorrect,0,20,20,92,1,t2.png,t3.png,1,0.909,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.38112,Correct!,0,21,21,70,1,t5.png,t5.png,0,0.978,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.183295,Correct!,0,22,22,108,1,t5.png,t1.png,4,9.55E-11,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.781665,Correct!,0,23,23,9,1,t4.png,t5.png,1,0.9,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.87111,Incorrect,0,24,24,119,1,t1.png,t5.png,4,9.55E-11,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.61429,Correct!,0,25,25,4,1,t1.png,t5.png,4,9.55E-11,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.804945,Incorrect,0,26,26,37,1,t1.png,t4.png,3,0.0000131,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.114725,Correct!,0,27,27,76,1,t3.png,t2.png,1,0.90855,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.67117,Correct!,0,28,28,11,1,t1.png,t4.png,3,0.0000131,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.34801,Correct!,0,29,29,100,1,t4.png,t5.png,1,0.90025,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.732795,Correct!,0,30,30,31,1,t1.png,t5.png,4,9.55E-11,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.886405,Correct!,0,31,31,18,1,t4.png,t5.png,1,0.90025,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.23477,Correct!,0,32,32,0,1,t5.png,t1.png,4,9.55E-11,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.15141,Correct!,0,33,33,22,1,t2.png,t3.png,1,0.90855,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.21474,Correct!,0,34,34,61,1,t1.png,t4.png,3,0.0000131,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.039325,Incorrect,0,35,35,19,1,t4.png,t2.png,2,0.059078,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.602605,Correct!,0,36,36,88,1,t3.png,t1.png,2,0.056466,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.099535,Incorrect,0,37,37,68,1,t1.png,t4.png,3,0.0000131,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.701065,Correct!,0,38,38,23,1,t5.png,t4.png,1,0.90025,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.865215,Correct!,0,39,39,33,1,t5.png,t1.png,4,9.55E-11,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.46465,Correct!,0,40,40,91,1,t1.png,t4.png,3,0.0000131,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.184325,Correct!,0,41,41,54,1,t1.png,t5.png,4,9.55E-11,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.101885,Correct!,0,42,42,71,1,t5.png,t5.png,0,0.97829,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.555655,Incorrect,0,43,43,1,1,t2.png,t4.png,2,0.059078,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.897785,Correct!,0,44,44,93,1,t2.png,t4.png,2,0.059078,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.08338,Correct!,0,45,45,107,1,t1.png,t1.png,0,0.978,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.148415,Incorrect,0,46,46,49,1,t4.png,t5.png,1,0.9,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.26739,Correct!,0,47,47,47,1,t4.png,t2.png,2,0.059078,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.81488,Incorrect,0,48,48,40,1,t1.png,t5.png,4,9.55E-11,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.825695,Correct!,0,49,49,26,1,t4.png,t2.png,2,0.0591,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.36696,Incorrect,0,50,50,117,1,t1.png,t5.png,4,9.55E-11,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.600135,Incorrect,0,51,51,43,1,t4.png,t2.png,2,0.059078,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.982295,Incorrect,0,52,52,105,1,t3.png,t2.png,1,0.90855,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.542775,Correct!,0,53,53,29,1,t5.png,t5.png,0,0.97829,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.764915,Correct!,0,54,54,69,1,t4.png,t2.png,2,0.059078,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.91732,Incorrect,0,55,55,3,1,t1.png,t5.png,4,9.55E-11,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.94141,Incorrect,0,56,56,12,1,t5.png,t1.png,4,9.55E-11,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.37553,Correct!,0,57,57,21,1,t5.png,t4.png,1,0.90025,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.331465,Correct!,0,58,58,39,1,t3.png,t2.png,1,0.90855,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,2.25616,Incorrect,0,59,59,50,1,t5.png,t1.png,4,9.55E-11,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.031835,Incorrect,0,60,60,101,1,t4.png,t5.png,1,0.90025,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.181355,Correct!,0,61,61,62,1,t5.png,t5.png,0,0.978,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.841185,Incorrect,0,62,62,113,1,t5.png,t4.png,1,0.9,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.91769,Correct!,0,63,63,84,1,t1.png,t1.png,0,0.97829,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.190145,Incorrect,0,64,64,30,1,t3.png,t1.png,2,0.056466,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.656415,Correct!,0,65,65,60,1,t2.png,t4.png,2,0.059078,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.836555,Correct!,0,66,66,53,1,t3.png,t1.png,2,0.056466,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.18488,Correct!,0,67,67,114,1,t2.png,t3.png,1,0.90855,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.17081,Correct!,0,68,68,46,1,t4.png,t2.png,2,0.059078,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.48523,Correct!,0,69,69,13,1,t5.png,t5.png,0,0.97829,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.34235,Correct!,0,70,70,110,1,t4.png,t5.png,1,0.90025,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.251705,Incorrect,0,71,71,115,1,t2.png,t4.png,2,0.059078,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.00527,Correct!,0,72,72,94,1,t5.png,t1.png,4,9.55E-11,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.632905,Correct!,0,73,73,44,1,t2.png,t3.png,1,0.909,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.05387,Incorrect,0,74,74,75,1,t1.png,t1.png,0,0.97829,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.00337,Correct!,0,75,75,79,1,t3.png,t2.png,1,0.909,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.73733,Correct!,0,76,76,16,1,t5.png,t4.png,1,0.9,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.75611,Incorrect,0,77,77,64,1,t1.png,t1.png,0,0.978,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.653575,Incorrect,0,78,78,14,1,t2.png,t4.png,2,0.059078,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.114365,Correct!,0,79,79,102,1,t4.png,t2.png,2,0.059078,18,Female,2020-11-03_12h17.07.875,torte-q,2020.1.3,Win32,60,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
