key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,Feedback,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,train.ran,torta_sx,torta_dx,difference,probability,age,gender,date,expName,psychopyVersion,OS,frameRate,participant,key_resp.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,test1.thisRepN,test1.thisTrialN,test1.thisN,test1.thisIndex,test1.ran,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,back1.thisRepN,back1.thisTrialN,back1.thisN,back1.thisIndex,back1.ran,letter,key_resp_5.rt,back2.thisRepN,back2.thisTrialN,back2.thisN,back2.thisIndex,back2.ran,back3.thisRepN,back3.thisTrialN,back3.thisN,back3.thisIndex,back3.ran,back4.thisRepN,back4.thisTrialN,back4.thisN,back4.thisIndex,back4.ran,key_resp_7.keys,key_resp_7.rt,test2.thisRepN,test2.thisTrialN,test2.thisN,test2.thisIndex,test2.ran,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt
,,,,,,,,,,,,l,Incorrect,0,24,24,71,1,t4.png,t5.png,1,0.90025,20,female,2020-08-06_11h59.37.834,torte-2b,2020.1.3,MacIntel,60,13396,0.935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,25,25,97,1,t1.png,t1.png,0,0.97829,20,female,2020-08-06_11h59.37.834,torte-2b,2020.1.3,MacIntel,60,13396,1.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,26,26,95,1,t1.png,t4.png,3,0.0000131,20,female,2020-08-06_11h59.37.834,torte-2b,2020.1.3,MacIntel,60,13396,1.596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,27,27,14,1,t2.png,t3.png,1,0.90855,20,female,2020-08-06_11h59.37.834,torte-2b,2020.1.3,MacIntel,60,13396,1.358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,28,28,103,1,t4.png,t1.png,3,0.059078,20,female,2020-08-06_11h59.37.834,torte-2b,2020.1.3,MacIntel,60,13396,1.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,29,29,100,1,t3.png,t2.png,1,0.90855,20,female,2020-08-06_11h59.37.834,torte-2b,2020.1.3,MacIntel,60,13396,1.316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,30,30,62,1,t1.png,t4.png,3,0.0000131,20,female,2020-08-06_11h59.37.834,torte-2b,2020.1.3,MacIntel,60,13396,1.536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,31,31,75,1,t2.png,t3.png,1,0.90855,20,female,2020-08-06_11h59.37.834,torte-2b,2020.1.3,MacIntel,60,13396,1.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,32,32,4,1,t3.png,t2.png,1,0.90855,20,female,2020-08-06_11h59.37.834,torte-2b,2020.1.3,MacIntel,60,13396,1.408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,33,33,52,1,t2.png,t3.png,1,0.90855,20,female,2020-08-06_11h59.37.834,torte-2b,2020.1.3,MacIntel,60,13396,1.491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
