key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,Feedback,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,train.ran,torta_sx,torta_dx,difference,probability,age,gender,date,expName,psychopyVersion,OS,frameRate,participant,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,test1.thisRepN,test1.thisTrialN,test1.thisN,test1.thisIndex,test1.ran,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,back1.thisRepN,back1.thisTrialN,back1.thisN,back1.thisIndex,back1.ran,letter,back2.thisRepN,back2.thisTrialN,back2.thisN,back2.thisIndex,back2.ran,back3.thisRepN,back3.thisTrialN,back3.thisN,back3.thisIndex,back3.ran,back4.thisRepN,back4.thisTrialN,back4.thisN,back4.thisIndex,back4.ran,key_resp_7.keys,key_resp_7.rt,test2.thisRepN,test2.thisTrialN,test2.thisN,test2.thisIndex,test2.ran,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt
,,,,,,,,,,,,l,1.05578,Incorrect,0,25,25,7,1,t4.png,t5.png,1,0.90025,19,female,2020-09-28_10h39.02.218,torte-2b,2020.1.3,Win32,60,13324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.96903,Correct!,0,26,26,89,1,t1.png,t4.png,3,0.0000131,19,female,2020-09-28_10h39.02.218,torte-2b,2020.1.3,Win32,60,13324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.622135,Correct!,0,27,27,71,1,t5.png,t5.png,0,0.97829,19,female,2020-09-28_10h39.02.218,torte-2b,2020.1.3,Win32,60,13324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.747660001,Incorrect,0,28,28,63,1,t2.png,t3.png,1,0.909,19,female,2020-09-28_10h39.02.218,torte-2b,2020.1.3,Win32,60,13324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.13979,Correct!,0,29,29,47,1,t4.png,t2.png,2,0.059078,19,female,2020-09-28_10h39.02.218,torte-2b,2020.1.3,Win32,60,13324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Too slow :(,0,30,30,96,1,t1.png,t1.png,0,0.97829,19,female,2020-09-28_10h39.02.218,torte-2b,2020.1.3,Win32,60,13324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.882395,Correct!,0,31,31,60,1,t2.png,t4.png,2,0.059078,19,female,2020-09-28_10h39.02.218,torte-2b,2020.1.3,Win32,60,13324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.682019999,Correct!,0,32,32,93,1,t2.png,t4.png,2,0.059078,19,female,2020-09-28_10h39.02.218,torte-2b,2020.1.3,Win32,60,13324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.630524999,Correct!,0,33,33,6,1,t1.png,t4.png,3,0.0000131,19,female,2020-09-28_10h39.02.218,torte-2b,2020.1.3,Win32,60,13324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.574745,Incorrect,0,34,34,21,1,t5.png,t4.png,1,0.90025,19,female,2020-09-28_10h39.02.218,torte-2b,2020.1.3,Win32,60,13324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.890205001,Correct!,0,35,35,58,1,t5.png,t4.png,1,0.90025,19,female,2020-09-28_10h39.02.218,torte-2b,2020.1.3,Win32,60,13324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.868890001,Correct!,0,36,36,79,1,t3.png,t2.png,1,0.909,19,female,2020-09-28_10h39.02.218,torte-2b,2020.1.3,Win32,60,13324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.057705,Correct!,0,37,37,99,1,t1.png,t5.png,4,9.55E-11,19,female,2020-09-28_10h39.02.218,torte-2b,2020.1.3,Win32,60,13324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.235405,Correct!,0,38,38,13,1,t5.png,t5.png,0,0.97829,19,female,2020-09-28_10h39.02.218,torte-2b,2020.1.3,Win32,60,13324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.965195,Correct!,0,39,39,98,1,t2.png,t4.png,2,0.0591,19,female,2020-09-28_10h39.02.218,torte-2b,2020.1.3,Win32,60,13324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.46718,Incorrect,0,40,40,87,1,t5.png,t1.png,4,9.55E-11,19,female,2020-09-28_10h39.02.218,torte-2b,2020.1.3,Win32,60,13324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.04293,Incorrect,0,41,41,105,1,t3.png,t2.png,1,0.90855,19,female,2020-09-28_10h39.02.218,torte-2b,2020.1.3,Win32,60,13324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.499729999,Incorrect,0,42,42,43,1,t4.png,t2.png,2,0.059078,19,female,2020-09-28_10h39.02.218,torte-2b,2020.1.3,Win32,60,13324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.69272,Incorrect,0,43,43,53,1,t3.png,t1.png,2,0.056466,19,female,2020-09-28_10h39.02.218,torte-2b,2020.1.3,Win32,60,13324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.53886,Correct!,0,44,44,3,1,t1.png,t5.png,4,9.55E-11,19,female,2020-09-28_10h39.02.218,torte-2b,2020.1.3,Win32,60,13324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.200815,Incorrect,0,45,45,16,1,t5.png,t4.png,1,0.9,19,female,2020-09-28_10h39.02.218,torte-2b,2020.1.3,Win32,60,13324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.651424999,Correct!,0,46,46,4,1,t1.png,t5.png,4,9.55E-11,19,female,2020-09-28_10h39.02.218,torte-2b,2020.1.3,Win32,60,13324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.59856,Correct!,0,47,47,54,1,t1.png,t5.png,4,9.55E-11,19,female,2020-09-28_10h39.02.218,torte-2b,2020.1.3,Win32,60,13324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.52164,Correct!,0,48,48,119,1,t1.png,t5.png,4,9.55E-11,19,female,2020-09-28_10h39.02.218,torte-2b,2020.1.3,Win32,60,13324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.4144,Correct!,0,49,49,80,1,t1.png,t4.png,3,0.0000131,19,female,2020-09-28_10h39.02.218,torte-2b,2020.1.3,Win32,60,13324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.118330001,Correct!,0,50,50,29,1,t5.png,t5.png,0,0.97829,19,female,2020-09-28_10h39.02.218,torte-2b,2020.1.3,Win32,60,13324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
