key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,Feedback,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,train.ran,torta_sx,torta_dx,difference,probability,age,gender,date,expName,psychopyVersion,OS,frameRate,participant,key_resp.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,test1.thisRepN,test1.thisTrialN,test1.thisN,test1.thisIndex,test1.ran,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,back1.thisRepN,back1.thisTrialN,back1.thisN,back1.thisIndex,back1.ran,letter,back2.thisRepN,back2.thisTrialN,back2.thisN,back2.thisIndex,back2.ran,back3.thisRepN,back3.thisTrialN,back3.thisN,back3.thisIndex,back3.ran,back4.thisRepN,back4.thisTrialN,back4.thisN,back4.thisIndex,back4.ran,key_resp_7.keys,key_resp_7.rt,test2.thisRepN,test2.thisTrialN,test2.thisN,test2.thisIndex,test2.ran,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt
space,22.128005,space,3.237045,space,1.24428,space,12.443465,space,3.46808,space,21.20713,,Too slow :(,0,0,0,105,1,t3.png,t2.png,1,0.90855,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,1,1,29,1,t5.png,t5.png,0,0.97829,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,0.944135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,2,2,46,1,t4.png,t2.png,2,0.059078,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,1.01525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,3,3,13,1,t5.png,t5.png,0,0.97829,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,0.91582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,4,4,49,1,t4.png,t5.png,1,0.9,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,0.903115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,5,5,22,1,t2.png,t3.png,1,0.90855,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,1.4534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,6,6,17,1,t1.png,t4.png,3,0.0000131,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,1.0181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,7,7,32,1,t4.png,t5.png,1,0.90025,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,1.21882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,8,8,15,1,t3.png,t2.png,1,0.90855,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,1.25744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,9,9,93,1,t2.png,t4.png,2,0.059078,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,0.99213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Too slow :(,0,10,10,36,1,t3.png,t1.png,2,0.0565,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,11,11,33,1,t5.png,t1.png,4,9.55E-11,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,2.052995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,12,12,28,1,t2.png,t3.png,1,0.909,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,2.10389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,13,13,1,1,t2.png,t4.png,2,0.059078,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,1.243485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,14,14,66,1,t4.png,t5.png,1,0.9,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,1.19852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,15,15,16,1,t5.png,t4.png,1,0.9,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,1.526045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,16,16,41,1,t3.png,t2.png,1,0.90855,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,1.22397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,17,17,69,1,t4.png,t2.png,2,0.059078,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,1.095045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,18,18,70,1,t5.png,t5.png,0,0.978,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,1.48205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,19,19,95,1,t1.png,t1.png,0,0.978,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,1.46412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,20,20,23,1,t5.png,t4.png,1,0.90025,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,1.40154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,21,21,115,1,t2.png,t4.png,2,0.059078,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,1.47048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,22,22,52,1,t2.png,t4.png,2,0.059078,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,1.12283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,23,23,19,1,t4.png,t2.png,2,0.059078,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,1.136685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,24,24,59,1,t5.png,t4.png,1,0.9,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,2.152795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,25,25,113,1,t5.png,t4.png,1,0.9,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,0.87074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,26,26,97,1,t5.png,t5.png,0,0.97829,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,1.06904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,27,27,30,1,t3.png,t1.png,2,0.056466,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,1.25185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,28,28,96,1,t1.png,t1.png,0,0.97829,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,0.85093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,29,29,99,1,t1.png,t5.png,4,9.55E-11,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,1.404355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,30,30,78,1,t1.png,t1.png,0,0.978,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,1.218295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,31,31,80,1,t1.png,t4.png,3,0.0000131,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,0.953985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,32,32,86,1,t3.png,t1.png,2,0.056466,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,1.49299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,33,33,65,1,t4.png,t5.png,1,0.90025,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,1.19502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,34,34,51,1,t3.png,t1.png,2,0.056466,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,0.80105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,35,35,75,1,t1.png,t1.png,0,0.97829,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,0.850255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,36,36,87,1,t5.png,t1.png,4,9.55E-11,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,1.38873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,37,37,45,1,t3.png,t2.png,1,0.90855,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,0.826845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,38,38,39,1,t3.png,t2.png,1,0.90855,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,0.726015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,39,39,20,1,t2.png,t3.png,1,0.90855,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,1.052235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,40,40,10,1,t2.png,t3.png,1,0.90855,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,0.88991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,41,41,73,1,t4.png,t2.png,2,0.059078,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,0.977875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,42,42,61,1,t1.png,t4.png,3,0.0000131,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,1.06673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,43,43,63,1,t2.png,t3.png,1,0.909,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,1.123485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,44,44,24,1,t4.png,t2.png,2,0.059078,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,1.116005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,45,45,25,1,t5.png,t5.png,0,0.97829,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,1.43713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,46,46,18,1,t4.png,t5.png,1,0.90025,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,1.48864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,47,47,64,1,t1.png,t1.png,0,0.978,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,0.89009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,48,48,43,1,t4.png,t2.png,2,0.059078,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,1.257905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,49,49,72,1,t4.png,t2.png,2,0.059078,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,0.907345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,50,50,84,1,t1.png,t1.png,0,0.97829,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,0.841065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,51,51,53,1,t3.png,t1.png,2,0.056466,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,1.28107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,52,52,4,1,t1.png,t5.png,4,9.55E-11,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,1.655725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,53,53,44,1,t2.png,t3.png,1,0.909,20,female,2020-09-28_21h38.56.757,torte-2b,2020.1.3,MacIntel,60,13315,0.84021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
