key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,Feedback,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,train.ran,torta_sx,torta_dx,difference,probability,age,gender,date,expName,psychopyVersion,OS,frameRate,participant,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,test1.thisRepN,test1.thisTrialN,test1.thisN,test1.thisIndex,test1.ran,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,back1.thisRepN,back1.thisTrialN,back1.thisN,back1.thisIndex,back1.ran,letter,back2.thisRepN,back2.thisTrialN,back2.thisN,back2.thisIndex,back2.ran,back3.thisRepN,back3.thisTrialN,back3.thisN,back3.thisIndex,back3.ran,back4.thisRepN,back4.thisTrialN,back4.thisN,back4.thisIndex,back4.ran,key_resp_7.keys,key_resp_7.rt,test2.thisRepN,test2.thisTrialN,test2.thisN,test2.thisIndex,test2.ran,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt
,,,,,,,,,,,,l,0.420375,Correct!,0,87,87,0,1,t5.png,t1.png,4,9.55E-11,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Too slow :(,0,88,88,84,1,t1.png,t1.png,0,0.97829,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.066545,Correct!,0,89,89,15,1,t3.png,t2.png,1,0.90855,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.96557,Incorrect,0,90,90,50,1,t5.png,t1.png,4,9.55E-11,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.918395,Correct!,0,91,91,97,1,t5.png,t5.png,0,0.97829,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.88494,Correct!,0,92,92,107,1,t1.png,t1.png,0,0.978,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.90563,Incorrect,0,93,93,44,1,t2.png,t3.png,1,0.909,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.567835,Incorrect,0,94,94,38,1,t3.png,t1.png,2,0.056466,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.551125,Incorrect,0,95,95,41,1,t3.png,t2.png,1,0.90855,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.00062,Correct!,0,96,96,94,1,t5.png,t1.png,4,9.55E-11,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.735385,Incorrect,0,97,97,76,1,t3.png,t2.png,1,0.90855,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.602875,Correct!,0,98,98,112,1,t1.png,t1.png,0,0.97829,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.84924,Correct!,0,99,99,75,1,t1.png,t1.png,0,0.97829,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.20174,Correct!,0,100,100,8,1,t3.png,t2.png,1,0.90855,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.86816,Correct!,0,101,101,64,1,t1.png,t1.png,0,0.978,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.318155,Incorrect,0,102,102,43,1,t4.png,t2.png,2,0.059078,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.984255,Correct!,0,103,103,37,1,t1.png,t4.png,3,0.0000131,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.869035,Correct!,0,104,104,103,1,t3.png,t1.png,2,0.056466,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.83501,Incorrect,0,105,105,27,1,t3.png,t1.png,2,0.0565,20,female,2020-11-24_12h27.44.349,torte-2b,2020.1.3,MacIntel,60,13189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
