key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,Feedback,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,train.ran,torta_sx,torta_dx,difference,probability,age,gender,date,expName,psychopyVersion,OS,frameRate,participant,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,test1.thisRepN,test1.thisTrialN,test1.thisN,test1.thisIndex,test1.ran,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,back1.thisRepN,back1.thisTrialN,back1.thisN,back1.thisIndex,back1.ran,letter,key_resp_5.rt,back2.thisRepN,back2.thisTrialN,back2.thisN,back2.thisIndex,back2.ran,back3.thisRepN,back3.thisTrialN,back3.thisN,back3.thisIndex,back3.ran,back4.thisRepN,back4.thisTrialN,back4.thisN,back4.thisIndex,back4.ran,key_resp_7.keys,key_resp_7.rt,test2.thisRepN,test2.thisTrialN,test2.thisN,test2.thisIndex,test2.ran,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt
space,5.884,space,2.338,space,1.577,space,1.981,space,7.016,space,8.475,a,1.553,Incorrect,0,0,0,33,1,t5.png,t1.png,4,9.55E-11,19,female,2020-09-08_13h28.24.462,torte-2b,2020.1.3,MacIntel,60,13241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Too slow :(,0,1,1,103,1,t3.png,t1.png,2,0.056466,19,female,2020-09-08_13h28.24.462,torte-2b,2020.1.3,MacIntel,60,13241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.002,Incorrect,0,2,2,100,1,t4.png,t5.png,1,0.90025,19,female,2020-09-08_13h28.24.462,torte-2b,2020.1.3,MacIntel,60,13241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.241,Incorrect,0,3,3,95,1,t1.png,t1.png,0,0.978,19,female,2020-09-08_13h28.24.462,torte-2b,2020.1.3,MacIntel,60,13241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.784,Incorrect,0,4,4,115,1,t2.png,t4.png,2,0.059078,19,female,2020-09-08_13h28.24.462,torte-2b,2020.1.3,MacIntel,60,13241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.199,Incorrect,0,5,5,110,1,t4.png,t5.png,1,0.90025,19,female,2020-09-08_13h28.24.462,torte-2b,2020.1.3,MacIntel,60,13241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.199,Incorrect,0,6,6,76,1,t3.png,t2.png,1,0.90855,19,female,2020-09-08_13h28.24.462,torte-2b,2020.1.3,MacIntel,60,13241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.057,Correct!,0,7,7,23,1,t5.png,t4.png,1,0.90025,19,female,2020-09-08_13h28.24.462,torte-2b,2020.1.3,MacIntel,60,13241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Too slow :(,0,8,8,50,1,t5.png,t1.png,4,9.55E-11,19,female,2020-09-08_13h28.24.462,torte-2b,2020.1.3,MacIntel,60,13241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.888,Correct!,0,9,9,17,1,t1.png,t4.png,3,0.0000131,19,female,2020-09-08_13h28.24.462,torte-2b,2020.1.3,MacIntel,60,13241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,2.135,Correct!,0,10,10,49,1,t4.png,t5.png,1,0.9,19,female,2020-09-08_13h28.24.462,torte-2b,2020.1.3,MacIntel,60,13241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.098,Correct!,0,11,11,47,1,t4.png,t2.png,2,0.059078,19,female,2020-09-08_13h28.24.462,torte-2b,2020.1.3,MacIntel,60,13241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.672,Incorrect,0,12,12,102,1,t4.png,t2.png,2,0.059078,19,female,2020-09-08_13h28.24.462,torte-2b,2020.1.3,MacIntel,60,13241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.359,Incorrect,0,13,13,78,1,t1.png,t1.png,0,0.978,19,female,2020-09-08_13h28.24.462,torte-2b,2020.1.3,MacIntel,60,13241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.003,Incorrect,0,14,14,109,1,t5.png,t5.png,0,0.97829,19,female,2020-09-08_13h28.24.462,torte-2b,2020.1.3,MacIntel,60,13241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Too slow :(,0,15,15,70,1,t5.png,t5.png,0,0.978,19,female,2020-09-08_13h28.24.462,torte-2b,2020.1.3,MacIntel,60,13241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.75,Correct!,0,16,16,117,1,t1.png,t5.png,4,9.55E-11,19,female,2020-09-08_13h28.24.462,torte-2b,2020.1.3,MacIntel,60,13241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.82,Incorrect,0,17,17,83,1,t3.png,t1.png,2,0.056466,19,female,2020-09-08_13h28.24.462,torte-2b,2020.1.3,MacIntel,60,13241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,2.254,Correct!,0,18,18,7,1,t4.png,t5.png,1,0.90025,19,female,2020-09-08_13h28.24.462,torte-2b,2020.1.3,MacIntel,60,13241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.1,Correct!,0,19,19,64,1,t1.png,t1.png,0,0.978,19,female,2020-09-08_13h28.24.462,torte-2b,2020.1.3,MacIntel,60,13241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.655,Incorrect,0,20,20,97,1,t5.png,t5.png,0,0.97829,19,female,2020-09-08_13h28.24.462,torte-2b,2020.1.3,MacIntel,60,13241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.822,Incorrect,0,21,21,119,1,t1.png,t5.png,4,9.55E-11,19,female,2020-09-08_13h28.24.462,torte-2b,2020.1.3,MacIntel,60,13241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.433,Correct!,0,22,22,56,1,t5.png,t1.png,4,9.55E-11,19,female,2020-09-08_13h28.24.462,torte-2b,2020.1.3,MacIntel,60,13241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.688,Correct!,0,23,23,99,1,t1.png,t5.png,4,9.55E-11,19,female,2020-09-08_13h28.24.462,torte-2b,2020.1.3,MacIntel,60,13241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.75,Correct!,0,24,24,71,1,t5.png,t5.png,0,0.97829,19,female,2020-09-08_13h28.24.462,torte-2b,2020.1.3,MacIntel,60,13241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.499,Incorrect,0,25,25,13,1,t5.png,t5.png,0,0.97829,19,female,2020-09-08_13h28.24.462,torte-2b,2020.1.3,MacIntel,60,13241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.801,Incorrect,0,26,26,88,1,t3.png,t1.png,2,0.056466,19,female,2020-09-08_13h28.24.462,torte-2b,2020.1.3,MacIntel,60,13241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.867,Incorrect,0,27,27,106,1,t2.png,t3.png,1,0.90855,19,female,2020-09-08_13h28.24.462,torte-2b,2020.1.3,MacIntel,60,13241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.634,Correct!,0,28,28,14,1,t2.png,t4.png,2,0.059078,19,female,2020-09-08_13h28.24.462,torte-2b,2020.1.3,MacIntel,60,13241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.567,Correct!,0,29,29,80,1,t1.png,t4.png,3,0.0000131,19,female,2020-09-08_13h28.24.462,torte-2b,2020.1.3,MacIntel,60,13241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.123,Incorrect,0,30,30,9,1,t4.png,t5.png,1,0.9,19,female,2020-09-08_13h28.24.462,torte-2b,2020.1.3,MacIntel,60,13241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.666,Correct!,0,31,31,68,1,t1.png,t4.png,3,0.0000131,19,female,2020-09-08_13h28.24.462,torte-2b,2020.1.3,MacIntel,60,13241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.967,Correct!,0,32,32,96,1,t1.png,t1.png,0,0.97829,19,female,2020-09-08_13h28.24.462,torte-2b,2020.1.3,MacIntel,60,13241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.784,Correct!,0,33,33,107,1,t1.png,t1.png,0,0.978,19,female,2020-09-08_13h28.24.462,torte-2b,2020.1.3,MacIntel,60,13241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.582,Incorrect,0,34,34,24,1,t4.png,t2.png,2,0.059078,19,female,2020-09-08_13h28.24.462,torte-2b,2020.1.3,MacIntel,60,13241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
