key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,Feedback,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,train.ran,torta_sx,torta_dx,difference,probability,age,gender,date,expName,psychopyVersion,OS,frameRate,participant,key_resp.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,test1.thisRepN,test1.thisTrialN,test1.thisN,test1.thisIndex,test1.ran,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,back1.thisRepN,back1.thisTrialN,back1.thisN,back1.thisIndex,back1.ran,letter,key_resp_5.rt,back2.thisRepN,back2.thisTrialN,back2.thisN,back2.thisIndex,back2.ran,back3.thisRepN,back3.thisTrialN,back3.thisN,back3.thisIndex,back3.ran,back4.thisRepN,back4.thisTrialN,back4.thisN,back4.thisIndex,back4.ran,key_resp_7.keys,key_resp_7.rt,test2.thisRepN,test2.thisTrialN,test2.thisN,test2.thisIndex,test2.ran,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt
,,,,,,,,,,,,a,Correct!,0,85,85,104,1,t2.png,t3.png,1,0.90855,19,female,2020-11-22_08h47.05.753,torte-2b,2020.1.3,Win32,60,13348,1.156015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,86,86,60,1,t2.png,t4.png,2,0.059078,19,female,2020-11-22_08h47.05.753,torte-2b,2020.1.3,Win32,60,13348,1.05216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,87,87,15,1,t3.png,t2.png,1,0.90855,19,female,2020-11-22_08h47.05.753,torte-2b,2020.1.3,Win32,60,13348,0.987675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,88,88,83,1,t3.png,t1.png,2,0.056466,19,female,2020-11-22_08h47.05.753,torte-2b,2020.1.3,Win32,60,13348,0.461205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,89,89,99,1,t1.png,t5.png,4,9.55E-11,19,female,2020-11-22_08h47.05.753,torte-2b,2020.1.3,Win32,60,13348,0.925585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,90,90,22,1,t2.png,t3.png,1,0.90855,19,female,2020-11-22_08h47.05.753,torte-2b,2020.1.3,Win32,60,13348,0.301845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,91,91,49,1,t4.png,t5.png,1,0.9,19,female,2020-11-22_08h47.05.753,torte-2b,2020.1.3,Win32,60,13348,0.40222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,92,92,114,1,t2.png,t3.png,1,0.90855,19,female,2020-11-22_08h47.05.753,torte-2b,2020.1.3,Win32,60,13348,0.292495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,93,93,90,1,t1.png,t5.png,4,9.55E-11,19,female,2020-11-22_08h47.05.753,torte-2b,2020.1.3,Win32,60,13348,0.417705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,94,94,102,1,t4.png,t2.png,2,0.059078,19,female,2020-11-22_08h47.05.753,torte-2b,2020.1.3,Win32,60,13348,0.32685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,95,95,73,1,t4.png,t2.png,2,0.059078,19,female,2020-11-22_08h47.05.753,torte-2b,2020.1.3,Win32,60,13348,0.20031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,96,96,11,1,t1.png,t4.png,3,0.0000131,19,female,2020-11-22_08h47.05.753,torte-2b,2020.1.3,Win32,60,13348,0.322035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,97,97,58,1,t5.png,t4.png,1,0.90025,19,female,2020-11-22_08h47.05.753,torte-2b,2020.1.3,Win32,60,13348,0.3208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,98,98,111,1,t5.png,t1.png,4,9.55E-11,19,female,2020-11-22_08h47.05.753,torte-2b,2020.1.3,Win32,60,13348,0.43265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,99,99,116,1,t5.png,t4.png,1,0.90025,19,female,2020-11-22_08h47.05.753,torte-2b,2020.1.3,Win32,60,13348,0.21349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,100,100,80,1,t1.png,t4.png,3,0.0000131,19,female,2020-11-22_08h47.05.753,torte-2b,2020.1.3,Win32,60,13348,0.435945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,101,101,3,1,t1.png,t5.png,4,9.55E-11,19,female,2020-11-22_08h47.05.753,torte-2b,2020.1.3,Win32,60,13348,0.783845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,102,102,94,1,t5.png,t1.png,4,9.55E-11,19,female,2020-11-22_08h47.05.753,torte-2b,2020.1.3,Win32,60,13348,2.055535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,103,103,42,1,t5.png,t4.png,1,0.90025,19,female,2020-11-22_08h47.05.753,torte-2b,2020.1.3,Win32,60,13348,0.62196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,104,104,29,1,t5.png,t5.png,0,0.97829,19,female,2020-11-22_08h47.05.753,torte-2b,2020.1.3,Win32,60,13348,0.38274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,105,105,32,1,t4.png,t5.png,1,0.90025,19,female,2020-11-22_08h47.05.753,torte-2b,2020.1.3,Win32,60,13348,0.06678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,106,106,7,1,t4.png,t5.png,1,0.90025,19,female,2020-11-22_08h47.05.753,torte-2b,2020.1.3,Win32,60,13348,0.2054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,107,107,92,1,t2.png,t3.png,1,0.909,19,female,2020-11-22_08h47.05.753,torte-2b,2020.1.3,Win32,60,13348,0.302415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,108,108,62,1,t5.png,t5.png,0,0.978,19,female,2020-11-22_08h47.05.753,torte-2b,2020.1.3,Win32,60,13348,0.3196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,109,109,63,1,t2.png,t3.png,1,0.909,19,female,2020-11-22_08h47.05.753,torte-2b,2020.1.3,Win32,60,13348,0.282845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,110,110,1,1,t2.png,t4.png,2,0.059078,19,female,2020-11-22_08h47.05.753,torte-2b,2020.1.3,Win32,60,13348,0.35191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,111,111,77,1,t1.png,t1.png,0,0.97829,19,female,2020-11-22_08h47.05.753,torte-2b,2020.1.3,Win32,60,13348,0.3265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,112,112,101,1,t4.png,t5.png,1,0.90025,19,female,2020-11-22_08h47.05.753,torte-2b,2020.1.3,Win32,60,13348,0.310575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,113,113,68,1,t1.png,t4.png,3,0.0000131,19,female,2020-11-22_08h47.05.753,torte-2b,2020.1.3,Win32,60,13348,0.30718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,114,114,118,1,t5.png,t5.png,0,0.978,19,female,2020-11-22_08h47.05.753,torte-2b,2020.1.3,Win32,60,13348,0.082465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,115,115,46,1,t4.png,t2.png,2,0.059078,19,female,2020-11-22_08h47.05.753,torte-2b,2020.1.3,Win32,60,13348,0.285105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
