letter,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,l2b.started,l2b.stopped,cross_3.started,cross_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,age,gender,date,expName,psychopyVersion,frameRate,
7,0,0,0,1,12.590654800005723,13.097358700004406,13.047848400019575,None,space,0.8915467000333592,12.590654800005723,None,,,2020_Jul_15_1301,torte,2020.1.3,59.46972039558395,
7,0,1,1,19,14.557083800027613,15.066239800013136,15.048897000029683,None,space,1.0120613999897614,14.557083800027613,None,,,2020_Jul_15_1301,torte,2020.1.3,59.46972039558395,
7,0,2,2,12,16.547330200031865,17.04710480000358,17.030461799993645,18.53036199999042,None,,16.547330200031865,None,,,2020_Jul_15_1301,torte,2020.1.3,59.46972039558395,
5,0,3,3,32,18.54681480000727,19.047035399999004,19.030205200018827,20.530336200026795,space,0.6845113000017591,18.54681480000727,None,,,2020_Jul_15_1301,torte,2020.1.3,59.46972039558395,
7,0,4,4,17,20.55526059999829,21.064457800006494,21.047963800025173,None,None,,20.55526059999829,None,,,2020_Jul_15_1301,torte,2020.1.3,59.46972039558395,
6,0,5,5,2,22.549035599979106,23.063434200012125,23.029897100001108,24.530178799992427,space,1.049600400030613,22.549035599979106,None,,,2020_Jul_15_1301,torte,2020.1.3,59.46972039558395,
5,0,6,6,28,24.552413000026718,25.063378699996974,25.046544699987862,None,None,,24.552413000026718,None,,,2020_Jul_15_1301,torte,2020.1.3,59.46972039558395,
6,0,7,7,27,26.549252299999353,27.062926899990998,27.02963040000759,28.529757099982817,space,1.4493244999903254,26.549252299999353,None,,,2020_Jul_15_1301,torte,2020.1.3,59.46972039558395,
