key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,Feedback,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,train.ran,torta_sx,torta_dx,difference,probability,age,gender,date,expName,psychopyVersion,OS,frameRate,participant,key_resp.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,test1.thisRepN,test1.thisTrialN,test1.thisN,test1.thisIndex,test1.ran,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,back1.thisRepN,back1.thisTrialN,back1.thisN,back1.thisIndex,back1.ran,letter,key_resp_5.rt,back2.thisRepN,back2.thisTrialN,back2.thisN,back2.thisIndex,back2.ran,back3.thisRepN,back3.thisTrialN,back3.thisN,back3.thisIndex,back3.ran,back4.thisRepN,back4.thisTrialN,back4.thisN,back4.thisIndex,back4.ran,key_resp_7.keys,key_resp_7.rt,test2.thisRepN,test2.thisTrialN,test2.thisN,test2.thisIndex,test2.ran,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt
space,697.93098,space,2.56308,space,0.83456,space,3.132595,space,7.501385,space,13.22081,,Too slow :(,0,0,0,44,1,t2.png,t3.png,1,0.909,19,female,2020-09-05_18h38.29.761,torte-2b,2020.1.3,MacIntel,60,13196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,1,1,45,1,t3.png,t2.png,1,0.90855,19,female,2020-09-05_18h38.29.761,torte-2b,2020.1.3,MacIntel,60,13196,0.03546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,2,2,22,1,t2.png,t3.png,1,0.90855,19,female,2020-09-05_18h38.29.761,torte-2b,2020.1.3,MacIntel,60,13196,1.10106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,3,3,57,1,t2.png,t4.png,2,0.059078,19,female,2020-09-05_18h38.29.761,torte-2b,2020.1.3,MacIntel,60,13196,2.384255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,4,4,13,1,t5.png,t5.png,0,0.97829,19,female,2020-09-05_18h38.29.761,torte-2b,2020.1.3,MacIntel,60,13196,2.317245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,5,5,72,1,t4.png,t2.png,2,0.059078,19,female,2020-09-05_18h38.29.761,torte-2b,2020.1.3,MacIntel,60,13196,1.38433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,6,6,106,1,t2.png,t3.png,1,0.90855,19,female,2020-09-05_18h38.29.761,torte-2b,2020.1.3,MacIntel,60,13196,1.553955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,7,7,19,1,t4.png,t2.png,2,0.059078,19,female,2020-09-05_18h38.29.761,torte-2b,2020.1.3,MacIntel,60,13196,1.117365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,8,8,26,1,t4.png,t2.png,2,0.0591,19,female,2020-09-05_18h38.29.761,torte-2b,2020.1.3,MacIntel,60,13196,0.34987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,9,9,63,1,t2.png,t3.png,1,0.909,19,female,2020-09-05_18h38.29.761,torte-2b,2020.1.3,MacIntel,60,13196,0.285155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Too slow :(,0,10,10,99,1,t1.png,t5.png,4,9.55E-11,19,female,2020-09-05_18h38.29.761,torte-2b,2020.1.3,MacIntel,60,13196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,11,11,39,1,t3.png,t2.png,1,0.90855,19,female,2020-09-05_18h38.29.761,torte-2b,2020.1.3,MacIntel,60,13196,1.436785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,12,12,53,1,t3.png,t1.png,2,0.056466,19,female,2020-09-05_18h38.29.761,torte-2b,2020.1.3,MacIntel,60,13196,1.729005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,13,13,71,1,t5.png,t5.png,0,0.97829,19,female,2020-09-05_18h38.29.761,torte-2b,2020.1.3,MacIntel,60,13196,1.314325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,14,14,36,1,t3.png,t1.png,2,0.0565,19,female,2020-09-05_18h38.29.761,torte-2b,2020.1.3,MacIntel,60,13196,1.80057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,15,15,117,1,t1.png,t5.png,4,9.55E-11,19,female,2020-09-05_18h38.29.761,torte-2b,2020.1.3,MacIntel,60,13196,1.54953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,16,16,40,1,t1.png,t5.png,4,9.55E-11,19,female,2020-09-05_18h38.29.761,torte-2b,2020.1.3,MacIntel,60,13196,0.901155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,17,17,87,1,t5.png,t1.png,4,9.55E-11,19,female,2020-09-05_18h38.29.761,torte-2b,2020.1.3,MacIntel,60,13196,0.768635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,18,18,29,1,t5.png,t5.png,0,0.97829,19,female,2020-09-05_18h38.29.761,torte-2b,2020.1.3,MacIntel,60,13196,0.736635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,19,19,86,1,t3.png,t1.png,2,0.056466,19,female,2020-09-05_18h38.29.761,torte-2b,2020.1.3,MacIntel,60,13196,0.81683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,20,20,110,1,t4.png,t5.png,1,0.90025,19,female,2020-09-05_18h38.29.761,torte-2b,2020.1.3,MacIntel,60,13196,0.265995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,21,21,80,1,t1.png,t4.png,3,0.0000131,19,female,2020-09-05_18h38.29.761,torte-2b,2020.1.3,MacIntel,60,13196,0.30087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,22,22,112,1,t1.png,t1.png,0,0.97829,19,female,2020-09-05_18h38.29.761,torte-2b,2020.1.3,MacIntel,60,13196,0.267945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,23,23,16,1,t5.png,t4.png,1,0.9,19,female,2020-09-05_18h38.29.761,torte-2b,2020.1.3,MacIntel,60,13196,0.3189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,24,24,70,1,t5.png,t5.png,0,0.978,19,female,2020-09-05_18h38.29.761,torte-2b,2020.1.3,MacIntel,60,13196,0.38545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,25,25,48,1,t5.png,t5.png,0,0.97829,19,female,2020-09-05_18h38.29.761,torte-2b,2020.1.3,MacIntel,60,13196,0.400575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,26,26,78,1,t1.png,t1.png,0,0.978,19,female,2020-09-05_18h38.29.761,torte-2b,2020.1.3,MacIntel,60,13196,0.412305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,27,27,65,1,t4.png,t5.png,1,0.90025,19,female,2020-09-05_18h38.29.761,torte-2b,2020.1.3,MacIntel,60,13196,0.234465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,28,28,64,1,t1.png,t1.png,0,0.978,19,female,2020-09-05_18h38.29.761,torte-2b,2020.1.3,MacIntel,60,13196,0.419095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,29,29,15,1,t3.png,t2.png,1,0.90855,19,female,2020-09-05_18h38.29.761,torte-2b,2020.1.3,MacIntel,60,13196,0.317815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,30,30,97,1,t5.png,t5.png,0,0.97829,19,female,2020-09-05_18h38.29.761,torte-2b,2020.1.3,MacIntel,60,13196,0.635385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,31,31,30,1,t3.png,t1.png,2,0.056466,19,female,2020-09-05_18h38.29.761,torte-2b,2020.1.3,MacIntel,60,13196,0.69777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,32,32,93,1,t2.png,t4.png,2,0.059078,19,female,2020-09-05_18h38.29.761,torte-2b,2020.1.3,MacIntel,60,13196,0.35067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
