key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,Feedback,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,train.ran,torta_sx,torta_dx,difference,probability,age,gender,date,expName,psychopyVersion,OS,frameRate,participant,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,test1.thisRepN,test1.thisTrialN,test1.thisN,test1.thisIndex,test1.ran,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,back1.thisRepN,back1.thisTrialN,back1.thisN,back1.thisIndex,back1.ran,letter,key_resp_5.rt,back2.thisRepN,back2.thisTrialN,back2.thisN,back2.thisIndex,back2.ran,back3.thisRepN,back3.thisTrialN,back3.thisN,back3.thisIndex,back3.ran,back4.thisRepN,back4.thisTrialN,back4.thisN,back4.thisIndex,back4.ran,key_resp_7.keys,key_resp_7.rt,test2.thisRepN,test2.thisTrialN,test2.thisN,test2.thisIndex,test2.ran,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt
space,1.373,space,0.045,space,6.582,space,3.888,space,18.218,space,53.996,a,1.618,Incorrect,0,0,0,76,1,t4.png,t1.png,3,0.059078,19,female ,2020-08-12_18h21.53.239,torte-2b,2020.1.3,MacIntel,60,13376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.867,Correct!,0,1,1,98,1,t5.png,t1.png,4,9.55E-11,19,female ,2020-08-12_18h21.53.239,torte-2b,2020.1.3,MacIntel,60,13376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.751,Incorrect,0,2,2,79,1,t1.png,t4.png,3,0.0000131,19,female ,2020-08-12_18h21.53.239,torte-2b,2020.1.3,MacIntel,60,13376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.759,Incorrect,0,3,3,88,1,t1.png,t1.png,0,0.97829,19,female ,2020-08-12_18h21.53.239,torte-2b,2020.1.3,MacIntel,60,13376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.736,Correct!,0,4,4,17,1,t4.png,t1.png,3,0.059078,19,female ,2020-08-12_18h21.53.239,torte-2b,2020.1.3,MacIntel,60,13376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Too slow :(,0,5,5,91,1,t5.png,t4.png,1,0.90025,19,female ,2020-08-12_18h21.53.239,torte-2b,2020.1.3,MacIntel,60,13376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.718,Correct!,0,6,6,81,1,t3.png,t1.png,2,0.056466,19,female ,2020-08-12_18h21.53.239,torte-2b,2020.1.3,MacIntel,60,13376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Too slow :(,0,7,7,72,1,t5.png,t5.png,0,0.97829,19,female ,2020-08-12_18h21.53.239,torte-2b,2020.1.3,MacIntel,60,13376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.535,Correct!,0,8,8,4,1,t3.png,t2.png,1,0.90855,19,female ,2020-08-12_18h21.53.239,torte-2b,2020.1.3,MacIntel,60,13376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.599,Incorrect,0,9,9,101,1,t5.png,t4.png,1,0.90025,19,female ,2020-08-12_18h21.53.239,torte-2b,2020.1.3,MacIntel,60,13376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.338,Correct!,0,10,10,44,1,t1.png,t4.png,3,0.0000131,19,female ,2020-08-12_18h21.53.239,torte-2b,2020.1.3,MacIntel,60,13376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.847,Correct!,0,11,11,9,1,t1.png,t5.png,4,9.55E-11,19,female ,2020-08-12_18h21.53.239,torte-2b,2020.1.3,MacIntel,60,13376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.744,Correct!,0,12,12,32,1,t3.png,t2.png,1,0.90855,19,female ,2020-08-12_18h21.53.239,torte-2b,2020.1.3,MacIntel,60,13376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.637,Correct!,0,13,13,28,1,t1.png,t4.png,3,0.0000131,19,female ,2020-08-12_18h21.53.239,torte-2b,2020.1.3,MacIntel,60,13376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.355,Incorrect,0,14,14,41,1,t4.png,t5.png,1,0.90025,19,female ,2020-08-12_18h21.53.239,torte-2b,2020.1.3,MacIntel,60,13376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.764,Incorrect,0,15,15,43,1,t3.png,t1.png,2,0.056466,19,female ,2020-08-12_18h21.53.239,torte-2b,2020.1.3,MacIntel,60,13376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.614,Incorrect,0,16,16,22,1,t5.png,t5.png,0,0.97829,19,female ,2020-08-12_18h21.53.239,torte-2b,2020.1.3,MacIntel,60,13376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.082,Incorrect,0,17,17,10,1,t4.png,t1.png,3,0.059078,19,female ,2020-08-12_18h21.53.239,torte-2b,2020.1.3,MacIntel,60,13376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.349,Incorrect,0,18,18,31,1,t1.png,t1.png,0,0.97829,19,female ,2020-08-12_18h21.53.239,torte-2b,2020.1.3,MacIntel,60,13376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
